"id_establecimiento","id_partido","votos","votos_paso","votos_pv","dif_paso","dif_pv"
172,"0135",917,846,889,71,28
173,"0131",676,521,579,155,97
173,"0135",1230,788,847,442,383
174,"0131",921,570,642,351,279
174,"0135",1252,830,944,422,308
175,"0131",1636,622,705,1014,931
175,"0135",485,822,868,-337,-383
176,"0131",1076,355,415,721,661
176,"0135",260,522,584,-262,-324
177,"0131",1038,650,709,388,329
177,"0135",1941,1436,1576,505,365
178,"0131",876,650,723,226,153
178,"0135",2088,1448,1592,640,496
179,"0131",392,211,297,181,95
179,"0135",946,676,742,270,204
180,"0131",2099,809,898,1290,1201
180,"0135",1687,1739,1955,-52,-268
181,"0131",1473,714,792,759,681
181,"0135",1803,1573,1705,230,98
182,"0131",2396,1039,1109,1357,1287
182,"0135",2513,2452,2672,61,-159
183,"0131",1605,871,1035,734,570
183,"0135",1336,1003,1111,333,225
184,"0131",1346,679,728,667,618
184,"0135",783,749,825,34,-42
185,"0131",1113,950,1069,163,44
185,"0135",1790,950,1069,840,721
186,"0131",610,322,364,288,246
186,"0135",432,353,395,79,37
187,"0131",1206,671,754,535,452
187,"0135",919,761,831,158,88
188,"0131",780,308,344,472,436
188,"0135",258,401,403,-143,-145
189,"0131",606,682,739,-76,-133
189,"0135",1452,634,745,818,707
190,"0131",923,663,757,260,166
190,"0135",1175,742,784,433,391
191,"0131",594,390,425,204,169
191,"0135",689,450,487,239,202
192,"0131",909,784,887,125,22
192,"0135",1459,717,814,742,645
193,"0131",1699,974,1084,725,615
193,"0135",2039,1580,1708,459,331
194,"0131",1662,741,815,921,847
194,"0135",1021,1033,1171,-12,-150
195,"0131",534,495,558,39,-24
195,"0135",1314,725,810,589,504
196,"0131",1539,824,898,715,641
196,"0135",1419,1155,1281,264,138
197,"0131",774,427,451,347,323
197,"0135",587,490,504,97,83
198,"0131",1203,457,522,746,681
198,"0135",430,622,655,-192,-225
199,"0131",924,414,429,510,495
199,"0135",418,488,541,-70,-123
200,"0131",488,530,471,-42,17
200,"0135",831,543,513,288,318
201,"0131",742,493,531,249,211
201,"0135",882,539,612,343,270
202,"0131",1240,586,625,654,615
202,"0135",677,667,723,10,-46
203,"0131",837,472,523,365,314
203,"0135",776,549,614,227,162
204,"0131",678,288,326,390,352
204,"0135",376,379,400,-3,-24
205,"0131",1106,701,792,405,314
205,"0135",1257,775,867,482,390
206,"0131",1261,809,785,452,476
206,"0135",1553,1223,1133,330,420
207,"0131",1268,636,698,632,570
207,"0135",1162,894,966,268,196
208,"0131",699,421,463,278,236
208,"0135",912,608,680,304,232
209,"0131",1330,521,572,809,758
209,"0135",793,804,886,-11,-93
210,"0131",793,532,572,261,221
210,"0135",1097,660,761,437,336
211,"0131",1764,825,942,939,822
211,"0135",1723,1340,1479,383,244
212,"0131",906,411,454,495,452
212,"0135",749,653,710,96,39
213,"0131",1618,885,987,733,631
213,"0135",1712,1238,1401,474,311
214,"0131",1509,762,841,747,668
214,"0135",1475,1076,1193,399,282
215,"0131",1549,881,945,668,604
215,"0135",1739,1268,1373,471,366
216,"0131",1073,576,637,497,436
216,"0135",1067,795,892,272,175
217,"0131",698,488,557,210,141
217,"0135",1199,713,773,486,426
218,"0131",966,676,749,290,217
218,"0135",1439,786,958,653,481
219,"0131",2321,988,1082,1333,1239
219,"0135",1465,1410,1578,55,-113
220,"0131",1511,693,752,818,759
220,"0135",1195,1061,1214,134,-19
221,"0131",1964,823,930,1141,1034
221,"0135",1333,1316,1463,17,-130
222,"0131",758,541,521,217,237
222,"0135",1139,869,842,270,297
223,"0131",797,373,371,424,426
223,"0135",568,651,578,-83,-10
224,"0131",1149,535,679,614,470
224,"0135",1351,992,1088,359,263
225,"0131",1593,661,732,932,861
225,"0135",1442,1350,1505,92,-63
226,"0131",929,492,562,437,367
226,"0135",1302,954,1069,348,233
227,"0131",829,281,327,548,502
227,"0135",505,585,647,-80,-142
228,"0131",1737,763,835,974,902
228,"0135",1834,1604,1821,230,13
229,"0131",568,405,444,163,124
229,"0135",1324,858,953,466,371
230,"0131",927,579,618,348,309
230,"0135",1302,849,949,453,353
231,"0131",1387,733,832,654,555
231,"0135",1647,1178,1334,469,313
232,"0131",1342,705,705,637,637
232,"0135",1121,975,1036,146,85
233,"0131",3565,1264,1437,2301,2128
233,"0135",2333,2523,2831,-190,-498
234,"0131",689,327,353,362,336
234,"0135",617,542,593,75,24
235,"0131",630,358,407,272,223
235,"0135",968,646,723,322,245
236,"0131",1344,818,914,526,430
236,"0135",2177,1496,1644,681,533
237,"0131",2066,781,860,1285,1206
237,"0135",1389,1432,1629,-43,-240
238,"0131",2157,899,1021,1258,1136
238,"0135",1606,1472,1702,134,-96
239,"0131",972,392,437,580,535
239,"0135",660,700,783,-40,-123
240,"0131",998,457,514,541,484
240,"0135",858,764,812,94,46
241,"0131",2631,1151,1264,1480,1367
241,"0135",2330,2054,2315,276,15
242,"0131",2428,1056,1200,1372,1228
242,"0135",2221,1931,2185,290,36
243,"0131",1514,983,1104,531,410
243,"0135",2457,1627,1850,830,607
244,"0131",1232,587,654,645,578
244,"0135",1352,1102,1200,250,152
245,"0131",601,245,340,356,261
